CMDLINE /opt/anaconda3/envs/classifier/bin/python3.11 prot2.py
MEM 3464.453125 1747317037.5426
MEM 3471.843750 1747317037.6524
MEM 3457.546875 1747317037.7608
MEM 3465.781250 1747317037.8741
MEM 3471.109375 1747317037.9825
MEM 3473.671875 1747317038.0951
MEM 3469.437500 1747317038.2051
MEM 3478.734375 1747317038.3155
MEM 3495.328125 1747317038.4284
MEM 3505.515625 1747317038.5406
MEM 3516.593750 1747317038.6513
MEM 3502.453125 1747317038.7596
MEM 3507.187500 1747317038.8672
MEM 3522.718750 1747317038.9785
MEM 3527.250000 1747317039.0908
MEM 3536.265625 1747317039.2036
MEM 3544.296875 1747317039.3148
MEM 3557.640625 1747317039.4268
MEM 3548.656250 1747317039.5393
MEM 3557.781250 1747317039.6491
MEM 3557.171875 1747317039.7570
MEM 3552.187500 1747317039.8655
MEM 3570.875000 1747317039.9775
MEM 3584.187500 1747317040.0896
MEM 3597.203125 1747317040.2026
MEM 3729.062500 1747317040.3141
MEM 3796.000000 1747317040.4257
MEM 3812.437500 1747317040.5328
MEM 3814.781250 1747317040.6460
MEM 3822.937500 1747317040.7577
MEM 3830.750000 1747317040.8662
MEM 3751.437500 1747317040.9733
MEM 3735.156250 1747317041.0826
MEM 3696.921875 1747317041.1944
MEM 3702.578125 1747317041.3063
MEM 3694.250000 1747317041.4178
MEM 3688.609375 1747317041.5291
MEM 3700.437500 1747317041.6404
MEM 3714.906250 1747317041.7524
MEM 3701.500000 1747317041.8612
MEM 3711.609375 1747317041.9724
MEM 3710.609375 1747317042.0847
MEM 3624.359375 1747317042.2049
MEM 3601.546875 1747317042.3164
MEM 3595.390625 1747317042.4277
MEM 3589.156250 1747317042.5394
MEM 3595.031250 1747317042.6542
MEM 3583.984375 1747317042.7637
MEM 3575.062500 1747317042.8755
MEM 3570.187500 1747317042.9852
MEM 3565.187500 1747317043.0964
MEM 3366.984375 1747317043.2078
MEM 3353.500000 1747317043.3229
MEM 3333.937500 1747317043.4523
MEM 3307.718750 1747317043.5605
MEM 3258.859375 1747317043.6706
MEM 3250.093750 1747317043.7824
MEM 3233.546875 1747317043.8911
MEM 3227.437500 1747317044.0001
MEM 3235.781250 1747317044.1120
MEM 3217.781250 1747317044.2196
MEM 3214.109375 1747317044.3289
MEM 3314.234375 1747317044.4405
MEM 3372.203125 1747317044.5514
MEM 3401.484375 1747317044.6606
MEM 3444.828125 1747317044.7723
MEM 3427.062500 1747317044.8851
MEM 3415.281250 1747317044.9967
MEM 3415.203125 1747317045.1059
MEM 3427.953125 1747317045.2169
MEM 3439.218750 1747317045.3264
MEM 3456.187500 1747317045.4344
MEM 3446.937500 1747317045.5413
MEM 3462.625000 1747317045.6517
MEM 3438.515625 1747317045.7642
MEM 3454.609375 1747317045.8716
MEM 3462.203125 1747317045.9820
MEM 3466.015625 1747317046.0963
MEM 3455.062500 1747317046.2090
MEM 3375.859375 1747317046.3178
MEM 3402.984375 1747317046.4304
MEM 3398.125000 1747317046.5404
MEM 3384.890625 1747317046.6498
MEM 3397.531250 1747317046.7592
MEM 3409.453125 1747317046.8674
MEM 3419.125000 1747317046.9783
MEM 3411.031250 1747317047.0898
MEM 3403.234375 1747317047.2013
MEM 3408.218750 1747317047.3090
MEM 3406.343750 1747317047.4202
MEM 3408.546875 1747317047.5330
MEM 3432.250000 1747317047.6511
MEM 3339.843750 1747317047.7641
MEM 3366.046875 1747317047.8724
MEM 3387.953125 1747317047.9815
MEM 3419.687500 1747317048.0937
MEM 3395.546875 1747317048.2078
MEM 3388.062500 1747317048.3169
MEM 3376.187500 1747317048.4316
MEM 3385.734375 1747317048.5414
MEM 3355.234375 1747317048.6515
MEM 3347.734375 1747317048.7631
MEM 3350.515625 1747317048.8708
MEM 3357.484375 1747317048.9799
MEM 3350.171875 1747317049.0918
MEM 3352.031250 1747317049.2031
MEM 3349.890625 1747317049.3127
MEM 3324.593750 1747317049.4253
MEM 3314.921875 1747317049.5338
MEM 3320.531250 1747317049.6431
MEM 3297.218750 1747317049.7520
MEM 3251.078125 1747317049.8648
MEM 3239.687500 1747317049.9791
MEM 3233.875000 1747317050.0919
MEM 3218.046875 1747317050.2020
MEM 3224.921875 1747317050.3140
MEM 3232.156250 1747317050.4242
MEM 3216.265625 1747317050.5361
MEM 3201.718750 1747317050.6446
MEM 3203.578125 1747317050.7524
MEM 3208.734375 1747317050.8599
MEM 3207.812500 1747317050.9715
MEM 3196.062500 1747317051.0791
MEM 3177.703125 1747317051.1921
MEM 3180.046875 1747317051.2991
MEM 3189.078125 1747317051.4134
MEM 3163.671875 1747317051.5252
MEM 3147.859375 1747317051.6350
MEM 3152.953125 1747317051.7422
MEM 3133.078125 1747317051.8521
MEM 3146.890625 1747317051.9651
MEM 3138.921875 1747317052.0771
MEM 3150.796875 1747317052.1895
MEM 3148.593750 1747317052.3009
MEM 3128.609375 1747317052.4082
MEM 3105.640625 1747317052.5194
MEM 3106.000000 1747317052.6315
MEM 3109.812500 1747317052.7403
MEM 3131.625000 1747317052.8489
MEM 3135.656250 1747317052.9614
MEM 3167.625000 1747317053.0732
MEM 3169.656250 1747317053.1822
MEM 3171.828125 1747317053.2944
MEM 3170.796875 1747317053.4065
MEM 3181.437500 1747317053.5208
MEM 3188.687500 1747317053.6317
MEM 3204.718750 1747317053.7442
MEM 3205.140625 1747317053.8554
MEM 3184.328125 1747317053.9685
MEM 3185.953125 1747317054.0861
MEM 3181.890625 1747317054.1982
MEM 3180.593750 1747317054.3088
MEM 3196.265625 1747317054.4221
MEM 3196.593750 1747317054.5338
MEM 3206.546875 1747317054.6429
MEM 3217.406250 1747317054.7540
MEM 3230.156250 1747317054.8618
MEM 3235.500000 1747317054.9740
MEM 3235.187500 1747317055.0851
MEM 3271.046875 1747317055.1958
MEM 3383.828125 1747317055.3032
MEM 3412.546875 1747317055.4136
MEM 3423.765625 1747317055.5235
MEM 3413.812500 1747317055.6317
MEM 3407.593750 1747317055.7403
MEM 3411.859375 1747317055.8501
MEM 3414.156250 1747317055.9567
MEM 3426.531250 1747317056.0645
MEM 3428.578125 1747317056.1747
MEM 3483.218750 1747317056.2870
MEM 3595.609375 1747317056.3964
MEM 3606.484375 1747317056.5066
MEM 3618.421875 1747317056.6145
MEM 3645.234375 1747317056.7244
MEM 3748.093750 1747317056.8345
MEM 3744.296875 1747317056.9431
MEM 3734.500000 1747317057.0526
MEM 3734.828125 1747317057.1625
MEM 3742.359375 1747317057.2724
MEM 3748.671875 1747317057.3790
MEM 3772.484375 1747317057.4868
MEM 3790.750000 1747317057.5965
MEM 3935.890625 1747317057.7066
MEM 3945.546875 1747317057.8119
MEM 3946.515625 1747317057.9194
MEM 3936.859375 1747317058.0295
MEM 3949.734375 1747317058.1393
MEM 3911.875000 1747317058.2483
MEM 3901.875000 1747317058.3581
MEM 3904.625000 1747317058.4642
MEM 3898.328125 1747317058.5694
MEM 3896.625000 1747317058.6792
MEM 3890.062500 1747317058.7878
MEM 3890.578125 1747317058.8943
MEM 3891.843750 1747317059.0042
MEM 3896.125000 1747317059.1107
MEM 3905.281250 1747317059.2167
MEM 3890.609375 1747317059.3222
MEM 3908.406250 1747317059.4294
MEM 3908.625000 1747317059.5392
MEM 3834.546875 1747317059.6479
MEM 3838.671875 1747317059.7563
MEM 3871.734375 1747317059.8663
MEM 3968.484375 1747317059.9756
MEM 4078.187500 1747317060.0817
MEM 3974.656250 1747317060.1926
MEM 4133.484375 1747317060.3065
MEM 4244.562500 1747317060.4190
MEM 4396.156250 1747317060.5288
MEM 4464.281250 1747317060.6447
MEM 4547.078125 1747317060.7578
MEM 4586.953125 1747317060.8673
MEM 4595.062500 1747317060.9822
MEM 4593.625000 1747317061.0956
MEM 4598.468750 1747317061.2081
MEM 4628.859375 1747317061.3247
MEM 4643.281250 1747317061.4352
MEM 4655.062500 1747317061.5442
MEM 4667.718750 1747317061.6561
MEM 4683.765625 1747317061.7713
MEM 4690.156250 1747317061.8812
MEM 4698.015625 1747317061.9931
MEM 4709.218750 1747317062.1123
MEM 4723.500000 1747317062.2304
MEM 4729.156250 1747317062.3491
MEM 4731.875000 1747317062.4583
MEM 4732.375000 1747317062.5694
MEM 4738.140625 1747317062.6818
